molecule,smiles,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,ZPE_eV,ZPE_pos_eV,ZPE_neg_eV,aEA_eV,aIP_eV,D4_disp_corr_eV,n_rings,Erel_eV,NFOD,HOMO_eV_corrected,LUMO_eV_corrected,GAP_eV_corrected,aIP_eV_corrected,aEA_eV_corrected
hc_c44h24_0pent_14990,c1ccc2cc3c(ccc4cc5cc6c(ccc7c6cc6ccc8c9ccccc9cc9ccc7c6c98)cc5cc43)cc2c1,-9.568,-7.908,1.66,0.012,-2899.049,-2888.129,-2905.61,14.053,14.024,13.976,-6.561,10.92,-2.688,11,0.394,1.197,-6.329,-1.433,4.886,6.166,-1.553
hc_c44h24_0pent_14991,c1ccc2cc3c(ccc4cc5cc6c(ccc7c6cc6ccc8cc9ccccc9c9ccc7c6c89)cc5cc43)cc2c1,-9.562,-7.916,1.646,0.042,-2899.09,-2888.17,-2905.651,14.054,14.025,13.977,-6.562,10.92,-2.688,11,0.353,1.166,-6.32,-1.443,4.867,6.166,-1.554
hc_c44h24_0pent_14995,c1ccc2c(c1)ccc1c3cc4cc5ccc6c(cc7ccc8c9ccccc9cc9ccc6c7c98)c5cc4cc3ccc21,-9.546,-7.933,1.613,0.024,-2899.065,-2888.166,-2905.653,14.057,14.029,13.983,-6.588,10.899,-2.701,11,0.378,1.189,-6.295,-1.465,4.82,6.136,-1.586
hc_c44h24_0pent_14996,c1ccc2c(c1)ccc1c3cc4cc5ccc6c(cc7ccc8cc9ccccc9c9ccc6c7c89)c5cc4cc3ccc21,-9.525,-7.96,1.565,0.018,-2899.104,-2888.217,-2905.708,14.059,14.032,13.986,-6.604,10.887,-2.701,11,0.339,1.161,-6.262,-1.5,4.751,6.119,-1.605
hc_c44h24_0pent_15000,c1ccc2c(c1)ccc1c2ccc2c3cc4cc5ccc6c(cc7ccc8cccc9ccc6c7c89)c5cc4cc3ccc21,-9.589,-7.892,1.697,0.045,-2899.156,-2888.187,-2905.667,14.062,14.03,13.984,-6.51,10.969,-2.698,11,0.287,1.089,-6.362,-1.413,4.939,6.237,-1.491
hc_c44h24_0pent_15001,c1ccc2cc3c(ccc4c5cc6cc7ccc8c(cc9ccc%10cccc%11ccc8c9c%10%11)c7cc6cc5ccc34)cc2c1,-9.538,-7.958,1.58,0.024,-2899.031,-2888.153,-2905.653,14.052,14.026,13.978,-6.623,10.878,-2.685,11,0.412,1.219,-6.282,-1.497,4.773,6.106,-1.628
hc_c44h24_0pent_15086,c1ccc2cc3c(ccc4c5cc6cc7c(ccc8c7cc7ccc9cccc%10ccc8c7c9%10)cc6cc5ccc34)cc2c1,-9.543,-7.956,1.587,0.022,-2899.029,-2888.14,-2905.645,14.053,14.025,13.978,-6.616,10.889,-2.686,11,0.414,1.218,-6.29,-1.495,4.783,6.122,-1.62
hc_c44h24_0pent_15087,c1ccc2c(c1)ccc1c2ccc2c3cc4cc5c(ccc6c5cc5ccc7cccc8ccc6c5c78)cc4cc3ccc21,-9.6,-7.885,1.715,0.041,-2899.155,-2888.157,-2905.639,14.063,14.024,13.977,-6.484,10.998,-2.699,11,0.288,1.088,-6.379,-1.404,4.965,6.279,-1.459
hc_c44h24_0pent_15090,c1ccc2c(c1)ccc1c3cc4cc5c(ccc6c5cc5ccc7c8ccccc8cc8ccc6c5c87)cc4cc3ccc21,-9.557,-7.928,1.629,0.046,-2899.064,-2888.145,-2905.636,14.058,14.027,13.981,-6.573,10.918,-2.702,11,0.379,1.188,-6.312,-1.459,4.842,6.164,-1.568
hc_c44h24_0pent_15091,c1ccc2c(c1)ccc1c3cc4cc5c(ccc6c5cc5ccc7cc8ccccc8c8ccc6c5c78)cc4cc3ccc21,-9.532,-7.956,1.576,0.02,-2899.103,-2888.201,-2905.696,14.059,14.032,13.985,-6.593,10.902,-2.702,11,0.34,1.161,-6.273,-1.495,4.767,6.141,-1.592
hc_c44h24_0pent_15095,c1ccc2cc3c(ccc4cc5cc6ccc7c(cc8ccc9c%10ccccc%10cc%10ccc7c8c%109)c6cc5cc43)cc2c1,-9.582,-7.899,1.683,0.057,-2899.047,-2888.089,-2905.571,14.053,14.014,13.959,-6.523,10.959,-2.689,11,0.396,1.196,-6.351,-1.422,4.919,6.223,-1.507
hc_c44h24_0pent_15096,c1ccc2cc3c(ccc4cc5cc6ccc7c(cc8ccc9cc%10ccccc%10c%10ccc7c8c9%10)c6cc5cc43)cc2c1,-9.573,-7.91,1.663,0.04,-2899.089,-2888.136,-2905.62,14.055,14.017,13.963,-6.531,10.953,-2.689,11,0.354,1.166,-6.337,-1.436,4.891,6.214,-1.516
hc_c44h24_0pent_15100,c1ccc2c(c1)ccc1cc3c(ccc4cc5cc6ccc7c(cc8ccc9cccc%10ccc7c8c9%10)c6cc5cc43)cc12,-9.633,-7.85,1.782,0.031,-2899.21,-2888.195,-2905.673,14.06,14.021,13.969,-6.463,11.015,-2.686,11,0.233,1.081,-6.43,-1.359,5.06,6.303,-1.434
hc_c44h24_0pent_15101,c1ccc2cc3cc4c(ccc5cc6cc7ccc8c(cc9ccc%10cccc%11ccc8c9c%10%11)c7cc6cc54)cc3cc2c1,-9.647,-7.84,1.807,0.027,-2898.974,-2888.042,-2905.539,14.047,14.011,13.957,-6.565,10.932,-2.671,11,0.469,1.267,-6.452,-1.346,5.095,6.184,-1.558
hc_c44h24_0pent_15102,c1ccc2c(c1)ccc1cc3ccc4cc5cc6ccc7c(cc8ccc9cccc%10ccc7c8c9%10)c6cc5cc4c3cc12,-9.634,-7.854,1.781,0.021,-2899.202,-2888.167,-2905.656,14.06,14.019,13.968,-6.454,11.035,-2.692,11,0.241,1.079,-6.432,-1.364,5.059,6.332,-1.423
hc_c44h24_0pent_15127,c1ccc2c(c1)ccc1cc3ccc4c5cc6c(ccc7c6cc6ccc8cccc9ccc7c6c89)cc5ccc4c3cc12,-9.679,-7.791,1.888,0.02,-2899.263,-2888.231,-2905.709,14.065,14.03,13.982,-6.446,11.032,-2.711,11,0.18,1.001,-6.502,-1.283,5.211,6.328,-1.413
hc_c44h24_0pent_15128,c1ccc2cc3cc4c(ccc5c6cc7c(ccc8c7cc7ccc9cccc%10ccc8c7c9%10)cc6ccc45)cc3cc2c1,-9.534,-7.969,1.565,0.022,-2898.995,-2888.12,-2905.629,14.05,14.024,13.976,-6.634,10.875,-2.692,11,0.448,1.25,-6.276,-1.512,4.751,6.102,-1.642
hc_c44h24_0pent_15129,c1ccc2c(c1)ccc1cc3c(ccc4c5cc6c(ccc7c6cc6ccc8cccc9ccc7c6c89)cc5ccc34)cc12,-9.681,-7.787,1.894,0.023,-2899.276,-2888.244,-2905.717,14.066,14.029,13.98,-6.441,11.033,-2.707,11,0.167,1.002,-6.505,-1.278,5.219,6.329,-1.407
hc_c44h24_0pent_15131,c1ccc2cc3c(ccc4c5cc6c(ccc7c6cc6c8ccccc8c8cccc9ccc7c6c98)cc5ccc34)cc2c1,-9.682,-7.788,1.894,0.038,-2899.203,-2888.154,-2905.628,14.065,14.033,13.982,-6.425,11.049,-2.74,11,0.24,0.984,-6.506,-1.279,5.219,6.352,-1.388
hc_c44h24_0pent_15132,c1ccc2cc3c(ccc4c5cc6c(ccc7c6cc6ccc8c9ccccc9cc9ccc7c6c98)cc5ccc34)cc2c1,-9.591,-7.888,1.703,0.022,-2899.09,-2888.158,-2905.645,14.058,14.027,13.979,-6.555,10.933,-2.71,11,0.353,1.147,-6.365,-1.407,4.948,6.185,-1.546
hc_c44h24_0pent_15133,c1ccc2cc3c(ccc4c5cc6c(ccc7c6cc6ccc8cc9ccccc9c9ccc7c6c89)cc5ccc34)cc2c1,-9.594,-7.881,1.713,0.031,-2899.136,-2888.204,-2905.692,14.06,14.03,13.983,-6.556,10.932,-2.71,11,0.307,1.11,-6.369,-1.398,4.962,6.184,-1.547
hc_c44h24_0pent_15143,c1ccc2c(c1)ccc1c2ccc2c3ccc4cc5ccc6c(cc7ccc8cccc9ccc6c7c89)c5cc4c3ccc12,-9.708,-7.754,1.954,0.039,-2899.287,-2888.207,-2905.663,14.072,14.029,13.98,-6.375,11.08,-2.721,11,0.156,0.945,-6.547,-1.235,5.304,6.397,-1.327
hc_c44h24_0pent_15144,c1ccc2cc3c(ccc4c3ccc3c5cc6c(ccc7c6cc6ccc8cccc9ccc7c6c89)cc5ccc34)cc2c1,-9.716,-7.75,1.966,0.017,-2899.193,-2888.154,-2905.624,14.063,14.021,13.969,-6.43,11.039,-2.708,11,0.25,1.031,-6.559,-1.23,5.322,6.338,-1.394
hc_c44h24_0pent_15156,c1ccc2c(c1)ccc1c3cc4c(ccc5c4cc4ccc6c7ccc8ccccc8c7cc7ccc5c4c76)cc3ccc21,-9.604,-7.866,1.738,0.023,-2899.242,-2888.231,-2905.703,14.068,14.033,13.988,-6.46,11.011,-2.727,11,0.201,1.011,-6.385,-1.379,4.997,6.298,-1.43
hc_c44h24_0pent_15160,c1ccc2c(c1)ccc1c2ccc2c3cc4c(ccc5c4cc4ccc6c7ccccc7cc7ccc5c4c76)cc3ccc21,-9.602,-7.874,1.728,0.034,-2899.206,-2888.171,-2905.632,14.067,14.024,13.973,-6.426,11.035,-2.724,11,0.237,1.032,-6.382,-1.389,4.983,6.332,-1.389
hc_c44h24_0pent_15165,c1ccc2c(c1)ccc1c2ccc2c3cc4c(ccc5c4cc4ccc6cc7ccccc7c7ccc5c4c67)cc3ccc21,-9.625,-7.841,1.784,0.018,-2899.252,-2888.212,-2905.671,14.07,14.028,13.978,-6.419,11.041,-2.724,11,0.191,0.992,-6.418,-1.347,5.063,6.341,-1.38
hc_c44h24_0pent_15168,c1ccc2c(c1)ccc1c3cc4c(ccc5c4cc4ccc6cc7c8ccccc8ccc7c7ccc5c4c67)cc3ccc21,-9.615,-7.851,1.764,0.022,-2899.275,-2888.263,-2905.734,14.069,14.035,13.989,-6.459,11.012,-2.727,11,0.168,0.989,-6.402,-1.36,5.034,6.299,-1.429
hc_c44h24_0pent_15186,c1ccc2cc3c(ccc4cc5ccc6c(cc7ccc8c9ccc%10ccccc%10c9cc9ccc6c7c98)c5cc43)cc2c1,-9.606,-7.869,1.737,0.043,-2899.202,-2888.192,-2905.671,14.062,14.025,13.976,-6.469,11.01,-2.714,11,0.241,1.055,-6.388,-1.383,4.996,6.296,-1.441
hc_c44h24_0pent_15190,c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6c(cc7ccc8c9ccccc9cc9ccc6c7c98)c5cc43)cc12,-9.601,-7.879,1.723,0.023,-2899.247,-2888.216,-2905.684,14.064,14.022,13.968,-6.437,11.031,-2.711,11,0.196,1.048,-6.38,-1.396,4.976,6.326,-1.402
hc_c44h24_0pent_15191,c1ccc2c(c1)ccc1cc3ccc4cc5ccc6c(cc7ccc8c9ccccc9cc9ccc6c7c98)c5cc4c3cc12,-9.602,-7.885,1.717,0.035,-2899.24,-2888.199,-2905.681,14.064,14.026,13.978,-6.441,11.041,-2.721,11,0.203,1.046,-6.382,-1.404,4.968,6.341,-1.407
hc_c44h24_0pent_15195,c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6c(cc7ccc8cc9ccccc9c9ccc6c7c89)c5cc43)cc12,-9.638,-7.83,1.808,0.026,-2899.296,-2888.246,-2905.706,14.067,14.024,13.97,-6.41,11.05,-2.712,11,0.147,1.004,-6.438,-1.333,5.097,6.354,-1.369
hc_c44h24_0pent_15196,c1ccc2c(c1)ccc1cc3ccc4cc5ccc6c(cc7ccc8cc9ccccc9c9ccc6c7c89)c5cc4c3cc12,-9.638,-7.837,1.802,0.051,-2899.289,-2888.223,-2905.697,14.066,14.024,13.975,-6.408,11.066,-2.721,11,0.154,1.002,-6.438,-1.342,5.088,6.377,-1.367
hc_c44h24_0pent_15198,c1ccc2cc3c(ccc4cc5ccc6c(cc7ccc8cc9c%10ccccc%10ccc9c9ccc6c7c89)c5cc43)cc2c1,-9.629,-7.839,1.79,0.046,-2899.237,-2888.211,-2905.683,14.063,14.024,13.974,-6.446,11.026,-2.715,11,0.206,1.03,-6.424,-1.344,5.071,6.319,-1.413
hc_c44h24_0pent_15210,c1ccc2c(c1)ccc1cc3c4ccccc4c4cc5ccc6c(cc7ccc8cccc9ccc6c7c89)c5cc4c3cc12,-9.72,-7.752,1.968,0.025,-2899.358,-2888.201,-2905.671,14.072,14.03,13.984,-6.313,11.157,-2.751,11,0.085,0.891,-6.565,-1.232,5.324,6.508,-1.251
hc_c44h24_0pent_15215,c1ccc2cc3c(ccc4cc5c(ccc6cc7ccc8c(cc9ccc%10cccc%11ccc8c9c%10%11)c7cc65)cc43)cc2c1,-9.716,-7.75,1.967,0.03,-2899.257,-2888.212,-2905.684,14.062,14.022,13.968,-6.427,11.045,-2.695,11,0.186,1.024,-6.559,-1.23,5.323,6.347,-1.39
hc_c44h24_0pent_15216,c1ccc2c(c1)ccc1c3cc4ccc5cc6ccc7c(cc8ccc9cccc%10ccc7c8c9%10)c6cc5c4cc3ccc21,-9.724,-7.742,1.983,0.027,-2899.305,-2888.225,-2905.687,14.068,14.023,13.97,-6.382,11.08,-2.708,11,0.138,0.975,-6.572,-1.22,5.346,6.397,-1.335
hc_c44h24_0pent_15222,c1ccc2cc3cc4c(ccc5cc6ccc7c(cc8ccc9c%10ccccc%10cc%10ccc7c8c%109)c6cc54)cc3cc2c1,-9.567,-7.928,1.639,0.044,-2898.998,-2888.098,-2905.605,14.05,14.022,13.972,-6.607,10.9,-2.696,11,0.445,1.254,-6.328,-1.459,4.857,6.138,-1.609
hc_c44h24_0pent_15223,c1ccc2cc3cc4c(ccc5cc6ccc7c(cc8ccc9cc%10ccccc%10c%10ccc7c8c9%10)c6cc54)cc3cc2c1,-9.616,-7.872,1.744,0.059,-2899.048,-2888.113,-2905.61,14.053,14.02,13.969,-6.561,10.935,-2.696,11,0.395,1.208,-6.404,-1.387,5.006,6.188,-1.553
hc_c44h24_0pent_15227,c1ccc2c(c1)ccc1cc3cc4c(ccc5cc6ccc7c(cc8ccc9cccc%10ccc7c8c9%10)c6cc54)cc3cc12,-9.681,-7.799,1.882,0.018,-2899.201,-2888.182,-2905.669,14.06,14.021,13.969,-6.468,11.02,-2.693,11,0.242,1.08,-6.505,-1.293,5.202,6.311,-1.44
hc_c44h24_0pent_15229,c1ccc2c(c1)ccc1cc3cc4ccc5cc6ccc7c(cc8ccc9cccc%10ccc7c8c9%10)c6cc5c4cc3cc12,-9.678,-7.805,1.874,0.016,-2899.202,-2888.177,-2905.669,14.06,14.023,13.972,-6.468,11.025,-2.695,11,0.241,1.08,-6.5,-1.301,5.191,6.318,-1.44
hc_c44h24_0pent_15232,c1ccc2c(c1)ccc1c3cc4c(ccc5cc6ccc7c(cc8ccc9cccc%10ccc7c8c9%10)c6cc54)cc3ccc21,-9.72,-7.753,1.968,0.019,-2899.296,-2888.196,-2905.671,14.067,14.024,13.975,-6.375,11.1,-2.72,11,0.147,0.974,-6.565,-1.234,5.324,6.426,-1.327
hc_c44h24_0pent_15233,c1ccc2cc3c(ccc4cc5ccc6cc7ccc8c(cc9ccc%10cccc%11ccc8c9c%10%11)c7cc6c5cc43)cc2c1,-9.714,-7.765,1.949,0.012,-2899.255,-2888.173,-2905.663,14.061,14.024,13.974,-6.408,11.081,-2.711,11,0.188,1.022,-6.556,-1.249,5.297,6.399,-1.367
hc_c44h24_0pent_16898,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c1ccc1c2cc2ccc3c4ccccc4cc4ccc1c2c43,-9.569,-7.895,1.674,0.033,-2899.219,-2888.232,-2905.685,14.072,14.036,13.993,-6.466,10.987,-2.731,11,0.224,1.006,-6.331,-1.416,4.906,6.263,-1.437
hc_c44h24_0pent_16902,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c1cc1ccc3c4ccc5ccccc5c4cc4ccc2c1c43,-9.581,-7.878,1.703,0.024,-2899.265,-2888.271,-2905.727,14.073,14.039,13.996,-6.462,10.994,-2.735,11,0.178,0.972,-6.349,-1.395,4.948,6.273,-1.433
hc_c44h24_0pent_16958,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3c4ccc5c6ccccc6ccc5c4cc4ccc1c2c43,-9.56,-7.901,1.659,0.016,-2899.252,-2888.268,-2905.729,14.073,14.039,13.997,-6.477,10.984,-2.736,11,0.191,0.986,-6.317,-1.424,4.885,6.259,-1.451
hc_c44h24_0pent_17137,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c1ccc1c2cc2ccc3cc4ccccc4c4ccc1c2c34,-9.633,-7.811,1.823,0.037,-2899.281,-2888.257,-2905.699,14.075,14.037,13.994,-6.417,11.024,-2.731,11,0.162,0.942,-6.43,-1.308,5.118,6.316,-1.378
hc_c44h24_0pent_17141,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2ccc2c1cc1ccc3cc4c5ccccc5ccc4c4ccc2c1c34,-9.616,-7.83,1.786,0.034,-2899.307,-2888.29,-2905.738,14.075,14.04,13.997,-6.432,11.017,-2.735,11,0.136,0.934,-6.404,-1.333,5.066,6.306,-1.396
hc_c44h24_0pent_17191,c1ccc2c(c1)ccc1c2ccc2c1ccc1c2cc2ccc3cc4c5ccc6ccccc6c5ccc4c4ccc1c2c34,-9.606,-7.841,1.765,0.032,-2899.3,-2888.287,-2905.738,14.075,14.04,13.998,-6.438,11.013,-2.736,11,0.143,0.94,-6.388,-1.347,5.036,6.301,-1.403
hc_c44h24_0pent_17193,c1ccc2c(c1)ccc1c2ccc2c1cc1c3ccccc3c3cc4c5ccc6ccccc6c5ccc4c4ccc2c1c43,-9.68,-7.733,1.947,0.042,-2899.33,-2888.241,-2905.673,14.082,14.047,14.001,-6.342,11.09,-2.777,11,0.113,0.849,-6.503,-1.208,5.295,6.412,-1.287
hc_c44h24_0pent_23044,c1ccc2c(c1)ccc1c2ccc2c1cc1cc3c(cc4cc5c6ccccc6ccc5c5cccc3c45)c3cccc2c13,-9.316,-8.171,1.145,0.025,-2898.946,-2888.199,-2905.694,14.063,14.042,14.002,-6.748,10.747,-2.745,11,0.497,1.288,-5.937,-1.771,4.154,5.917,-1.78
hc_c44h24_0pent_39757,c1ccc2cc3c(ccc4c3cc3c5cc6c7cc8ccccc8cc7ccc6c6cccc(c7cccc4c73)c65)cc2c1,-9.504,-7.974,1.531,0.003,-2899.029,-2888.113,-2905.606,14.062,14.038,13.99,-6.577,10.916,-2.758,11,0.414,1.143,-6.23,-1.518,4.703,6.161,-1.572
hc_c44h24_0pent_4336,c1ccc2cc3c(ccc4cc5c(cc43)c3cc4c6cc7ccccc7cc6ccc4c4ccc6cccc5c6c43)cc2c1,-9.712,-7.753,1.96,0.028,-2899.225,-2888.132,-2905.612,14.061,14.03,13.976,-6.387,11.093,-2.747,11,0.218,0.987,-6.553,-1.234,5.313,6.416,-1.341
hc_c44h24_0pent_4345,c1ccc2c(c1)ccc1cc3ccc4c(cc5c6cc7ccc8ccccc8c7cc6c6cccc7ccc4c5c76)c3cc12,-9.784,-7.655,2.129,0.035,-2899.381,-2888.166,-2905.61,14.072,14.019,13.961,-6.229,11.215,-2.757,11,0.062,0.865,-6.665,-1.108,5.553,6.592,-1.149
hc_c44h24_0pent_4358,c1ccc2cc3c(ccc4c3cc3c5cc6ccccc6cc5c5cc6c7ccccc7ccc6c6ccc4c3c65)cc2c1,-9.694,-7.746,1.948,0.02,-2899.214,-2888.114,-2905.566,14.066,14.026,13.973,-6.353,11.1,-2.76,11,0.229,0.966,-6.525,-1.225,5.296,6.426,-1.3
hc_c44h24_0pent_4372,c1ccc2c(c1)ccc1cc3c(ccc4c3cc3c5cc6c(ccc7ccccc76)cc5c5cccc6ccc4c3c65)cc12,-9.751,-7.689,2.062,0.037,-2899.394,-2888.229,-2905.682,14.073,14.035,13.985,-6.288,11.165,-2.754,11,0.049,0.867,-6.614,-1.151,5.458,6.52,-1.221
hc_c44h24_0pent_4380,c1ccc2cc3c(cc2c1)c1cccc2ccc4c5ccc6cc7ccc8c9ccccc9ccc8c7cc6c5cc3c4c21,-9.756,-7.695,2.06,0.045,-2899.271,-2888.104,-2905.56,14.068,14.02,13.964,-6.29,11.166,-2.752,11,0.172,0.92,-6.621,-1.159,5.455,6.521,-1.223
hc_c44h24_0pent_4434,c1ccc2c(c1)ccc1c3cc4c(cc3ccc21)c1cccc2ccc3c5ccc6c7ccccc7ccc6c5cc4c3c21,-9.777,-7.643,2.135,0.049,-2899.354,-2888.166,-2905.601,14.078,14.03,13.978,-6.247,11.187,-2.765,11,0.089,0.852,-6.654,-1.092,5.562,6.551,-1.171
hc_c44h24_0pent_4524,c1ccc2c(c1)ccc1c2ccc2c3ccc4cc5c(cc4c3ccc12)c1cccc2ccc3c4ccccc4cc5c3c21,-9.818,-7.595,2.223,0.063,-2899.339,-2888.169,-2905.591,14.077,14.025,13.975,-6.252,11.17,-2.746,11,0.104,0.851,-6.718,-1.031,5.687,6.527,-1.177
hc_c44h24_0pent_4540,c1ccc2c(c1)ccc1c3cc4c(cc3ccc21)c1cc2c3ccc5ccccc5c3ccc2c2ccc3cccc4c3c21,-9.786,-7.631,2.155,0.06,-2899.351,-2888.168,-2905.595,14.076,14.025,13.968,-6.245,11.183,-2.759,11,0.092,0.852,-6.668,-1.077,5.59,6.546,-1.169
hc_c44h24_0pent_4600,c1ccc2c(c1)ccc1cc3c(cc12)c1cc2c4ccccc4ccc2c2ccc4c5ccc6ccccc6c5cc3c4c21,-9.721,-7.701,2.02,0.01,-2899.383,-2888.228,-2905.669,14.077,14.038,13.988,-6.286,11.155,-2.782,11,0.06,0.849,-6.567,-1.167,5.398,6.505,-1.219
hc_c44h24_0pent_4615,c1ccc2c(c1)ccc1cc3c(cc12)c1cc2c4ccc5ccccc5c4ccc2c2ccc4c5ccccc5cc3c4c21,-9.72,-7.698,2.022,0.036,-2899.363,-2888.212,-2905.65,14.078,14.039,13.99,-6.287,11.151,-2.773,11,0.08,0.855,-6.565,-1.163,5.401,6.499,-1.22
hc_c44h24_0pent_5134,c1ccc2c(c1)ccc1cc3ccc4cc5ccc6cc7c(cc6c5cc4c3cc12)c1cccc2ccc3cccc7c3c21,-9.893,-7.545,2.348,0.029,-2899.43,-2888.169,-2905.614,14.071,14.006,13.935,-6.184,11.261,-2.741,11,0.013,0.857,-6.835,-0.966,5.865,6.658,-1.095
hc_c44h24_0pent_5135,c1ccc2cc3cc4c(ccc5cc6ccc7cc8c(cc7c6cc54)c4cccc5ccc6cccc8c6c54)cc3cc2c1,-9.651,-7.855,1.795,0.019,-2899.181,-2888.096,-2905.58,14.058,14.012,13.953,-6.399,11.085,-2.708,11,0.262,1.066,-6.458,-1.365,5.078,6.404,-1.356
hc_c44h24_0pent_5136,c1ccc2c(c1)ccc1cc3c(ccc4cc5ccc6cc7c(cc6c5cc43)c3cccc4ccc5cccc7c5c43)cc12,-9.872,-7.555,2.316,0.049,-2899.43,-2888.21,-2905.65,14.072,14.018,13.962,-6.22,11.221,-2.722,11,0.013,0.858,-6.802,-0.979,5.819,6.6,-1.138
hc_c44h24_0pent_5148,c1ccc2c(c1)ccc1c2ccc2c3cc4c(ccc5cc6c(cc54)c4cccc5ccc7cccc6c7c54)cc3ccc21,-9.843,-7.589,2.254,0.051,-2899.39,-2888.175,-2905.611,14.075,14.022,13.969,-6.221,11.216,-2.733,11,0.053,0.842,-6.757,-1.023,5.731,6.593,-1.14
hc_c44h24_0pent_5149,c1ccc2cc3c(ccc4c5cc6c(ccc7cc8c(cc76)c6cccc7ccc9cccc8c9c76)cc5ccc34)cc2c1,-9.72,-7.752,1.968,0.057,-2899.274,-2888.18,-2905.653,14.066,14.025,13.974,-6.38,11.094,-2.719,11,0.169,0.958,-6.565,-1.232,5.324,6.417,-1.333
hc_c44h24_0pent_5157,c1ccc2cc3c(ccc4cc5cc6ccc7cc8c(cc7c6cc5cc43)c3cccc4ccc5cccc8c5c43)cc2c1,-9.721,-7.757,1.965,0.034,-2899.229,-2888.117,-2905.586,14.061,14.014,13.956,-6.358,11.112,-2.696,11,0.214,1.008,-6.567,-1.239,5.32,6.443,-1.306
hc_c44h24_0pent_5158,c1ccc2c(c1)ccc1c3cc4cc5c(ccc6cc7c(cc65)c5cccc6ccc8cccc7c8c65)cc4cc3ccc21,-9.639,-7.851,1.787,0.054,-2899.245,-2888.191,-2905.675,14.066,14.029,13.979,-6.43,11.054,-2.709,11,0.198,1.0,-6.439,-1.36,5.067,6.36,-1.394
hc_c44h24_0pent_5162,c1ccc2c(c1)ccc1cc3cc4cc5ccc6cc7c(cc6c5cc4cc3cc12)c1cccc2ccc3cccc7c3c21,-9.501,-8.021,1.48,0.039,-2899.104,-2888.153,-2905.662,14.056,14.026,13.975,-6.558,10.951,-2.691,11,0.339,1.167,-6.225,-1.579,4.631,6.211,-1.549
hc_c44h24_0pent_5164,c1ccc2c(c1)ccc1cc3cc4cc5c(ccc6cc7c(cc65)c5cccc6ccc8cccc7c8c65)cc4cc3cc12,-9.5,-8.021,1.479,0.055,-2899.104,-2888.158,-2905.665,14.056,14.026,13.976,-6.561,10.947,-2.691,11,0.339,1.167,-6.223,-1.579,4.629,6.205,-1.553
hc_c44h24_0pent_5174,c1ccc2c(c1)c1ccccc1c1cc3cc4c(ccc5cc6c(cc54)c4cccc5ccc7cccc6c7c54)cc3cc21,-9.735,-7.733,2.001,0.059,-2899.301,-2888.146,-2905.612,14.072,14.028,13.976,-6.311,11.156,-2.731,11,0.142,0.888,-6.589,-1.208,5.371,6.507,-1.249
hc_c44h24_0pent_5175,c1ccc2c(c1)ccc1c3cc4cc5ccc6cc7c(cc6c5cc4cc3ccc21)c1cccc2ccc3cccc7c3c21,-9.635,-7.853,1.782,0.069,-2899.246,-2888.202,-2905.683,14.066,14.029,13.979,-6.437,11.044,-2.707,11,0.197,1.0,-6.433,-1.362,5.06,6.345,-1.402
hc_c44h24_0pent_5176,c1ccc2cc3c(ccc4cc5cc6c(ccc7cc8c(cc76)c6cccc7ccc9cccc8c9c76)cc5cc43)cc2c1,-9.712,-7.762,1.95,0.069,-2899.229,-2888.138,-2905.603,14.061,14.017,13.962,-6.374,11.092,-2.694,11,0.214,1.008,-6.553,-1.245,5.299,6.414,-1.326
hc_c44h24_0pent_5188,c1ccc2c(c1)ccc1cc3cc4ccc5cc6c(cc5c4cc3cc12)c1cccc2ccc3c4ccccc4cc6c3c21,-9.664,-7.816,1.848,0.01,-2899.239,-2888.197,-2905.678,14.064,14.029,13.978,-6.438,11.043,-2.718,11,0.204,1.003,-6.478,-1.315,5.154,6.344,-1.403
hc_c44h24_0pent_5189,c1ccc2c(c1)ccc1cc3cc4c(ccc5cc6c(cc54)c4cccc5ccc7c8ccccc8cc6c7c54)cc3cc12,-9.661,-7.817,1.844,0.044,-2899.24,-2888.205,-2905.684,14.064,14.029,13.979,-6.444,11.035,-2.717,11,0.203,1.004,-6.474,-1.316,5.148,6.332,-1.411
hc_c44h24_0pent_5192,c1ccc2cc3cc4c(ccc5cc6c(cc54)c4cccc5ccc7c8cc9ccccc9cc8cc6c7c54)cc3cc2c1,-9.568,-7.931,1.636,0.024,-2899.006,-2888.1,-2905.608,14.049,14.022,13.973,-6.603,10.906,-2.708,11,0.437,1.21,-6.329,-1.463,4.852,6.146,-1.604
hc_c44h24_0pent_5206,c1ccc2cc3cc4c(ccc5cc6c(cc54)c4cc5c7ccccc7ccc5c5ccc7cccc6c7c54)cc3cc2c1,-9.617,-7.89,1.727,0.034,-2899.147,-2888.128,-2905.623,14.058,14.03,13.978,-6.476,11.018,-2.737,11,0.296,1.073,-6.405,-1.41,4.982,6.308,-1.45
